data,filial_id,filial_nome,produto_canonico,valor_total_brl,volume_estimado_litros
2025-03-01,F001,Posto Bandeirantes,Gasolina Comum,3115,495.23
2025-03-03,F001,Posto Bandeirantes,Gasolina Comum,3331,529.57
2025-03-04,F001,Posto Bandeirantes,Gasolina Comum,3208,510.02
2025-03-05,F001,Posto Bandeirantes,Gasolina Comum,3423,544.2
2025-03-06,F001,Posto Bandeirantes,Gasolina Comum,3300,524.64
2025-03-07,F001,Posto Bandeirantes,Gasolina Comum,3177,505.09
2025-03-08,F001,Posto Bandeirantes,Gasolina Comum,3392,539.27
2025-03-10,F001,Posto Bandeirantes,Gasolina Comum,3269,519.71
2025-03-11,F001,Posto Bandeirantes,Gasolina Comum,3146,500.16
2025-03-12,F001,Posto Bandeirantes,Gasolina Comum,3362,534.5
2025-03-13,F001,Posto Bandeirantes,Gasolina Comum,3238,514.79
2025-03-14,F001,Posto Bandeirantes,Gasolina Comum,3115,495.23
2025-03-15,F001,Posto Bandeirantes,Gasolina Comum,3331,529.57
2025-03-17,F001,Posto Bandeirantes,Gasolina Comum,3208,510.02
2025-03-18,F001,Posto Bandeirantes,Gasolina Comum,3423,544.2
2025-03-19,F001,Posto Bandeirantes,Gasolina Comum,3300,524.64
2025-03-20,F001,Posto Bandeirantes,Gasolina Comum,3177,505.09
2025-03-21,F001,Posto Bandeirantes,Gasolina Comum,3392,539.27
2025-03-22,F001,Posto Bandeirantes,Gasolina Comum,3269,519.71
2025-03-24,F001,Posto Bandeirantes,Gasolina Comum,3146,500.16
2025-03-25,F001,Posto Bandeirantes,Gasolina Comum,3362,534.5
2025-03-26,F001,Posto Bandeirantes,Gasolina Comum,3238,514.79
2025-03-27,F001,Posto Bandeirantes,Gasolina Comum,3115,495.23
2025-03-28,F001,Posto Bandeirantes,Gasolina Comum,3331,529.57
2025-03-29,F001,Posto Bandeirantes,Gasolina Comum,3208,510.02
2025-03-31,F001,Posto Bandeirantes,Gasolina Comum,3424,544.36
2025-03-01,F001,Posto Bandeirantes,Etanol,1558,379.08
2025-03-03,F001,Posto Bandeirantes,Etanol,1692,411.68
2025-03-04,F001,Posto Bandeirantes,Etanol,1615,392.94
2025-03-05,F001,Posto Bandeirantes,Etanol,1538,374.21
2025-03-06,F001,Posto Bandeirantes,Etanol,1673,407.06
2025-03-07,F001,Posto Bandeirantes,Etanol,1596,388.32
2025-03-08,F001,Posto Bandeirantes,Etanol,1519,369.59
2025-03-10,F001,Posto Bandeirantes,Etanol,1654,402.43
2025-03-11,F001,Posto Bandeirantes,Etanol,1577,383.7
2025-03-12,F001,Posto Bandeirantes,Etanol,1712,416.55
2025-03-13,F001,Posto Bandeirantes,Etanol,1635,397.81
2025-03-14,F001,Posto Bandeirantes,Etanol,1558,379.08
2025-03-15,F001,Posto Bandeirantes,Etanol,1692,411.68
2025-03-17,F001,Posto Bandeirantes,Etanol,1615,392.94
2025-03-18,F001,Posto Bandeirantes,Etanol,1538,374.21
2025-03-19,F001,Posto Bandeirantes,Etanol,1673,407.06
2025-03-20,F001,Posto Bandeirantes,Etanol,1596,388.32
2025-03-21,F001,Posto Bandeirantes,Etanol,1519,369.59
2025-03-22,F001,Posto Bandeirantes,Etanol,1654,402.43
2025-03-24,F001,Posto Bandeirantes,Etanol,1577,383.7
2025-03-25,F001,Posto Bandeirantes,Etanol,1712,416.55
2025-03-26,F001,Posto Bandeirantes,Etanol,1635,397.81
2025-03-27,F001,Posto Bandeirantes,Etanol,1558,379.08
2025-03-28,F001,Posto Bandeirantes,Etanol,1692,411.68
2025-03-29,F001,Posto Bandeirantes,Etanol,1615,392.94
2025-03-31,F001,Posto Bandeirantes,Etanol,1597,388.56
2025-03-01,F001,Posto Bandeirantes,Diesel S10,2323,355.2
2025-03-03,F001,Posto Bandeirantes,Diesel S10,2231,341.13
2025-03-04,F001,Posto Bandeirantes,Diesel S10,2392,365.75
2025-03-05,F001,Posto Bandeirantes,Diesel S10,2300,351.68
2025-03-06,F001,Posto Bandeirantes,Diesel S10,2462,376.45
2025-03-07,F001,Posto Bandeirantes,Diesel S10,2369,362.23
2025-03-08,F001,Posto Bandeirantes,Diesel S10,2277,348.17
2025-03-10,F001,Posto Bandeirantes,Diesel S10,2438,372.78
2025-03-11,F001,Posto Bandeirantes,Diesel S10,2346,358.72
2025-03-12,F001,Posto Bandeirantes,Diesel S10,2254,344.65
2025-03-13,F001,Posto Bandeirantes,Diesel S10,2415,369.27
2025-03-14,F001,Posto Bandeirantes,Diesel S10,2323,355.2
2025-03-15,F001,Posto Bandeirantes,Diesel S10,2231,341.13
2025-03-17,F001,Posto Bandeirantes,Diesel S10,2392,365.75
2025-03-18,F001,Posto Bandeirantes,Diesel S10,2300,351.68
2025-03-19,F001,Posto Bandeirantes,Diesel S10,2462,376.45
2025-03-20,F001,Posto Bandeirantes,Diesel S10,2369,362.23
2025-03-21,F001,Posto Bandeirantes,Diesel S10,2277,348.17
2025-03-22,F001,Posto Bandeirantes,Diesel S10,2438,372.78
2025-03-24,F001,Posto Bandeirantes,Diesel S10,2346,358.72
2025-03-25,F001,Posto Bandeirantes,Diesel S10,2254,344.65
2025-03-26,F001,Posto Bandeirantes,Diesel S10,2415,369.27
2025-03-27,F001,Posto Bandeirantes,Diesel S10,2323,355.2
2025-03-28,F001,Posto Bandeirantes,Diesel S10,2231,341.13
2025-03-29,F001,Posto Bandeirantes,Diesel S10,2392,365.75
2025-03-31,F001,Posto Bandeirantes,Diesel S10,2440,373.09
2025-03-01,F002,Auto Posto Central,Gasolina Comum,3365,534.98
2025-03-03,F002,Auto Posto Central,Gasolina Comum,3608,573.61
2025-03-04,F002,Auto Posto Central,Gasolina Comum,3469,551.51
2025-03-05,F002,Auto Posto Central,Gasolina Comum,3712,590.14
2025-03-06,F002,Auto Posto Central,Gasolina Comum,3573,568.04
2025-03-07,F002,Auto Posto Central,Gasolina Comum,3435,546.1
2025-03-08,F002,Auto Posto Central,Gasolina Comum,3677,584.58
2025-03-10,F002,Auto Posto Central,Gasolina Comum,3538,562.48
2025-03-11,F002,Auto Posto Central,Gasolina Comum,3400,540.54
2025-03-12,F002,Auto Posto Central,Gasolina Comum,3642,579.01
2025-03-13,F002,Auto Posto Central,Gasolina Comum,3504,557.07
2025-03-14,F002,Auto Posto Central,Gasolina Comum,3365,534.98
2025-03-15,F002,Auto Posto Central,Gasolina Comum,3608,573.61
2025-03-17,F002,Auto Posto Central,Gasolina Comum,3469,551.51
2025-03-18,F002,Auto Posto Central,Gasolina Comum,3712,590.14
2025-03-19,F002,Auto Posto Central,Gasolina Comum,3573,568.04
2025-03-20,F002,Auto Posto Central,Gasolina Comum,3435,546.1
2025-03-21,F002,Auto Posto Central,Gasolina Comum,3677,584.58
2025-03-22,F002,Auto Posto Central,Gasolina Comum,3538,562.48
2025-03-24,F002,Auto Posto Central,Gasolina Comum,3400,540.54
2025-03-25,F002,Auto Posto Central,Gasolina Comum,3642,579.01
2025-03-26,F002,Auto Posto Central,Gasolina Comum,3504,557.07
2025-03-27,F002,Auto Posto Central,Gasolina Comum,3365,534.98
2025-03-28,F002,Auto Posto Central,Gasolina Comum,3608,573.61
2025-03-29,F002,Auto Posto Central,Gasolina Comum,3469,551.51
2025-03-31,F002,Auto Posto Central,Gasolina Comum,3712,590.14
2025-03-01,F002,Auto Posto Central,Etanol,2150,523.11
2025-03-03,F002,Auto Posto Central,Etanol,2338,568.86
2025-03-04,F002,Auto Posto Central,Etanol,2231,542.82
2025-03-05,F002,Auto Posto Central,Etanol,2123,516.55
2025-03-06,F002,Auto Posto Central,Etanol,2312,562.53
2025-03-07,F002,Auto Posto Central,Etanol,2204,536.25
2025-03-08,F002,Auto Posto Central,Etanol,2096,509.98
2025-03-10,F002,Auto Posto Central,Etanol,2285,555.96
2025-03-11,F002,Auto Posto Central,Etanol,2177,529.68
2025-03-12,F002,Auto Posto Central,Etanol,2365,575.43
2025-03-13,F002,Auto Posto Central,Etanol,2258,549.39
2025-03-14,F002,Auto Posto Central,Etanol,2150,523.11
2025-03-15,F002,Auto Posto Central,Etanol,2338,568.86
2025-03-17,F002,Auto Posto Central,Etanol,2231,542.82
2025-03-18,F002,Auto Posto Central,Etanol,2123,516.55
2025-03-19,F002,Auto Posto Central,Etanol,2312,562.53
2025-03-20,F002,Auto Posto Central,Etanol,2204,536.25
2025-03-21,F002,Auto Posto Central,Etanol,2096,509.98
2025-03-22,F002,Auto Posto Central,Etanol,2285,555.96
2025-03-24,F002,Auto Posto Central,Etanol,2177,529.68
2025-03-25,F002,Auto Posto Central,Etanol,2365,575.43
2025-03-26,F002,Auto Posto Central,Etanol,2258,549.39
2025-03-27,F002,Auto Posto Central,Etanol,2150,523.11
2025-03-28,F002,Auto Posto Central,Etanol,2338,568.86
2025-03-29,F002,Auto Posto Central,Etanol,2231,542.82
2025-03-31,F002,Auto Posto Central,Etanol,2203,536.01
2025-03-01,F002,Auto Posto Central,Diesel S10,2058,314.68
2025-03-03,F002,Auto Posto Central,Diesel S10,1981,302.91
2025-03-04,F002,Auto Posto Central,Diesel S10,2115,323.39
2025-03-05,F002,Auto Posto Central,Diesel S10,2038,311.62
2025-03-06,F002,Auto Posto Central,Diesel S10,2173,332.26
2025-03-07,F002,Auto Posto Central,Diesel S10,2096,320.49
2025-03-08,F002,Auto Posto Central,Diesel S10,2019,308.72
2025-03-10,F002,Auto Posto Central,Diesel S10,2154,329.36
2025-03-11,F002,Auto Posto Central,Diesel S10,2077,317.58
2025-03-12,F002,Auto Posto Central,Diesel S10,2000,305.81
2025-03-13,F002,Auto Posto Central,Diesel S10,2135,326.45
2025-03-14,F002,Auto Posto Central,Diesel S10,2058,314.68
2025-03-15,F002,Auto Posto Central,Diesel S10,1981,302.91
2025-03-17,F002,Auto Posto Central,Diesel S10,2115,323.39
2025-03-18,F002,Auto Posto Central,Diesel S10,2038,311.62
2025-03-19,F002,Auto Posto Central,Diesel S10,2173,332.26
2025-03-20,F002,Auto Posto Central,Diesel S10,2096,320.49
2025-03-21,F002,Auto Posto Central,Diesel S10,2019,308.72
2025-03-22,F002,Auto Posto Central,Diesel S10,2154,329.36
2025-03-24,F002,Auto Posto Central,Diesel S10,2077,317.58
2025-03-25,F002,Auto Posto Central,Diesel S10,2000,305.81
2025-03-26,F002,Auto Posto Central,Diesel S10,2135,326.45
2025-03-27,F002,Auto Posto Central,Diesel S10,2058,314.68
2025-03-28,F002,Auto Posto Central,Diesel S10,1981,302.91
2025-03-29,F002,Auto Posto Central,Diesel S10,2115,323.39
2025-03-31,F002,Auto Posto Central,Diesel S10,2154,329.36
2025-03-01,F003,Posto São João,Gasolina Comum,2596,412.72
2025-03-03,F003,Posto São João,Gasolina Comum,2785,442.77
2025-03-04,F003,Posto São João,Gasolina Comum,2677,425.6
2025-03-05,F003,Posto São João,Gasolina Comum,2865,455.48
2025-03-06,F003,Posto São João,Gasolina Comum,2758,438.47
2025-03-07,F003,Posto São João,Gasolina Comum,2650,421.3
2025-03-08,F003,Posto São João,Gasolina Comum,2838,451.19
2025-03-10,F003,Posto São João,Gasolina Comum,2731,434.18
2025-03-11,F003,Posto São João,Gasolina Comum,2623,417.01
2025-03-12,F003,Posto São João,Gasolina Comum,2812,447.06
2025-03-13,F003,Posto São João,Gasolina Comum,2704,429.89
2025-03-14,F003,Posto São João,Gasolina Comum,2596,412.72
2025-03-15,F003,Posto São João,Gasolina Comum,2785,442.77
2025-03-17,F003,Posto São João,Gasolina Comum,2677,425.6
2025-03-18,F003,Posto São João,Gasolina Comum,2865,455.48
2025-03-19,F003,Posto São João,Gasolina Comum,2758,438.47
2025-03-20,F003,Posto São João,Gasolina Comum,2650,421.3
2025-03-21,F003,Posto São João,Gasolina Comum,2838,451.19
2025-03-22,F003,Posto São João,Gasolina Comum,2731,434.18
2025-03-24,F003,Posto São João,Gasolina Comum,2623,417.01
2025-03-25,F003,Posto São João,Gasolina Comum,2812,447.06
2025-03-26,F003,Posto São João,Gasolina Comum,2704,429.89
2025-03-27,F003,Posto São João,Gasolina Comum,2596,412.72
